VIDEO TITLE,year,X PERCH1,X PERCH2,X PERCH3,X PERCH4,X PERCH5,X PERCH6,X PERCH7,X PERCH8,perch1P,perch2P,perch3P,perch4P,perch5P, perch6P, perch7P, perch8P, perch1M, perch2M, perch3M, perch4M, perch5M, perch6M, perch7M, perch8M
HE21332_250621_21DT5_mirror_IB,2021,NA,NA,NA,706,598,397,344,118,#ARVO!,#ARVO!,#ARVO!,756,648,447,394,168,#ARVO!,#ARVO!,#ARVO!,656,548,347,294,68
HE21333_250621_21JJ22_mirror_IB,2021,NA,NA,NA,770,663,468,407,203,#ARVO!,#ARVO!,#ARVO!,820,713,518,457,253,#ARVO!,#ARVO!,#ARVO!,720,613,418,357,153
HE21334_270621_21NB12SW_mirror_IB,2021,NA,NA,NA,736,632,446,386,175,#ARVO!,#ARVO!,#ARVO!,786,682,496,436,225,#ARVO!,#ARVO!,#ARVO!,686,582,396,336,125
HE21335_270621_21NB12SW_mirror_IB,2021,NA,NA,NA,734,622,410,353,113,#ARVO!,#ARVO!,#ARVO!,784,672,460,403,163,#ARVO!,#ARVO!,#ARVO!,684,572,360,303,63
HE21336_280621_noknownnest_mirror_IB,2021,NA,NA,NA,690,592,407,362,121,#ARVO!,#ARVO!,#ARVO!,740,642,457,412,171,#ARVO!,#ARVO!,#ARVO!,640,542,357,312,71
HE21337_280621_21NB7_mirror_IB,2021,NA,NA,NA,666,564,395,331,NA,#ARVO!,#ARVO!,#ARVO!,716,614,445,381,#ARVO!,#ARVO!,#ARVO!,#ARVO!,616,514,345,281,#ARVO!
HE21338_290621_21EK19_mirror_IB,2021,NA,NA,NA,645,542,373,307,92,#ARVO!,#ARVO!,#ARVO!,695,592,423,357,142,#ARVO!,#ARVO!,#ARVO!,595,492,323,257,42
HE21339_290621_21EK19_mirror_IB,2021,NA,NA,NA,753,650,486,423,224,#ARVO!,#ARVO!,#ARVO!,803,700,536,473,274,#ARVO!,#ARVO!,#ARVO!,703,600,436,373,174
HE21340_290621_Smedjeviken_SW_mirror_IB,2021,NA,NA,NA,766,662,456,403,193,#ARVO!,#ARVO!,#ARVO!,816,712,506,453,243,#ARVO!,#ARVO!,#ARVO!,716,612,406,353,143
HE21341_300621_21EK21_mirror_IB,2021,NA,NA,NA,742,631,467,387,184,#ARVO!,#ARVO!,#ARVO!,792,681,517,437,234,#ARVO!,#ARVO!,#ARVO!,692,581,417,337,134
HE21342_010721_21OW2_mirror_IB,2021,NA,NA,NA,733,621,455,377,179,#ARVO!,#ARVO!,#ARVO!,783,671,505,427,229,#ARVO!,#ARVO!,#ARVO!,683,571,405,327,129
HE21343_010721_21OW2_mirror_IB,2021,NA,NA,NA,730,624,449,395,183,#ARVO!,#ARVO!,#ARVO!,780,674,499,445,233,#ARVO!,#ARVO!,#ARVO!,680,574,399,345,133
HE21344_010721_21JJ26_mirror_IB,2021,NA,NA,NA,730,625,448,389,179,#ARVO!,#ARVO!,#ARVO!,780,675,498,439,229,#ARVO!,#ARVO!,#ARVO!,680,575,398,339,129
HE21345_010721_21JJ26_mirror_IB,2021,NA,NA,NA,NA,NA,NA,NA,NA,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!
HE21346_010721_KaitalahtiN_mirror_IB,2021,NA,NA,NA,710,605,431,372,158,#ARVO!,#ARVO!,#ARVO!,760,655,481,422,208,#ARVO!,#ARVO!,#ARVO!,660,555,381,322,108
HE21347_010721_21OW3_mirror_IB,2021,NA,NA,NA,NA,582,334,288,32,#ARVO!,#ARVO!,#ARVO!,#ARVO!,632,384,338,82,#ARVO!,#ARVO!,#ARVO!,#ARVO!,532,284,238,-18
HE21348_020721_21KR20_mirror_IB,2021,NA,NA,NA,735,619,389,333,85,#ARVO!,#ARVO!,#ARVO!,785,669,439,383,135,#ARVO!,#ARVO!,#ARVO!,685,569,339,283,35
HE21349_020721_21OW5_mirror_IB,2021,NA,NA,NA,700,588,373,320,68,#ARVO!,#ARVO!,#ARVO!,750,638,423,370,118,#ARVO!,#ARVO!,#ARVO!,650,538,323,270,18
HE21350_020721_21OW5_mirror_IB,2021,NA,NA,NA,687,575,356,304,55,#ARVO!,#ARVO!,#ARVO!,737,625,406,354,105,#ARVO!,#ARVO!,#ARVO!,637,525,306,254,5
HE21351_030721_21EK25_mirror_IB,2021,NA,NA,NA,1954,1638,1197,1030,495,#ARVO!,#ARVO!,#ARVO!,2004,1688,1247,1080,545,#ARVO!,#ARVO!,#ARVO!,1904,1588,1147,980,445
HE21352_030721_21EK25_mirror_IB,2021,NA,NA,NA,2099,1785,1280,1117,601,#ARVO!,#ARVO!,#ARVO!,2149,1835,1330,1167,651,#ARVO!,#ARVO!,#ARVO!,2049,1735,1230,1067,551
HE21353_050721_21KR44_mirror_IB,2021,NA,NA,NA,670,562,375,307,85,#ARVO!,#ARVO!,#ARVO!,720,612,425,357,135,#ARVO!,#ARVO!,#ARVO!,620,512,325,257,35
HE21354_050721_21KR44_mirror_IB,2021,NA,NA,NA,740,616,441,371,160,#ARVO!,#ARVO!,#ARVO!,790,666,491,421,210,#ARVO!,#ARVO!,#ARVO!,690,566,391,321,110
HE21355_090721_21NB21_mirror_IB,2021,NA,NA,NA,762,654,456,391,167,#ARVO!,#ARVO!,#ARVO!,812,704,506,441,217,#ARVO!,#ARVO!,#ARVO!,620,512,325,257,35
HE21357_090721_Smedjeviken_BT_mirror_IB,2021,NA,NA,NA,765,655,455,396,174,#ARVO!,#ARVO!,#ARVO!,815,705,505,446,224,#ARVO!,#ARVO!,#ARVO!,712,604,406,341,117
HE21359_100721_21OW7_mirror_IB,2021,NA,NA,NA,806,701,533,467,271,#ARVO!,#ARVO!,#ARVO!,856,751,583,517,321,#ARVO!,#ARVO!,#ARVO!,715,605,405,346,124
HE21360_100721_21OW8_mirror_IB,2021,NA,NA,NA,717,612,444,376,173,#ARVO!,#ARVO!,#ARVO!,767,662,494,426,223,#ARVO!,#ARVO!,#ARVO!,756,651,483,417,221
HE21361_100721_21OW8_mirror_IB,2021,NA,NA,NA,721,616,448,381,178,#ARVO!,#ARVO!,#ARVO!,771,666,498,431,228,#ARVO!,#ARVO!,#ARVO!,667,562,394,326,123
HE21362_100721_21JJ32_mirror_IB,2021,NA,NA,NA,753,649,481,413,209,#ARVO!,#ARVO!,#ARVO!,803,699,531,463,259,#ARVO!,#ARVO!,#ARVO!,671,566,398,331,128
HE21363_100721_21JJ32_mirror_IB,2021,NA,NA,NA,744,640,477,408,205,#ARVO!,#ARVO!,#ARVO!,794,690,527,458,255,#ARVO!,#ARVO!,#ARVO!,703,599,431,363,159
HE21364_110721_21NB25_mirror_IB,2021,NA,NA,NA,681,565,356,294,37,#ARVO!,#ARVO!,#ARVO!,731,615,406,344,87,#ARVO!,#ARVO!,#ARVO!,694,590,427,358,155
HE21365_110721_21NB23_mirror_IB,2021,NA,NA,NA,747,637,465,396,176,#ARVO!,#ARVO!,#ARVO!,797,687,515,446,226,#ARVO!,#ARVO!,#ARVO!,631,515,306,244,-13
HE21366_120721_Natholmen_mirror_IB,2021,NA,NA,NA,689,593,440,381,177,#ARVO!,#ARVO!,#ARVO!,739,643,490,431,227,#ARVO!,#ARVO!,#ARVO!,697,587,415,346,126
HE21368_140721_Kodderviken_mirror_IB,2021,NA,NA,NA,766,648,468,396,172,#ARVO!,#ARVO!,#ARVO!,816,698,518,446,222,#ARVO!,#ARVO!,#ARVO!,639,543,390,331,127
HE21370_150721_21OW10_mirror_IB,2021,NA,NA,NA,702,591,376,315,64,#ARVO!,#ARVO!,#ARVO!,752,641,426,365,114,#ARVO!,#ARVO!,#ARVO!,716,598,418,346,122
K1032348_070721_21NB28_mirror_IB,2021,NA,NA,NA,703,593,396,338,104,#ARVO!,#ARVO!,#ARVO!,753,643,446,388,154,#ARVO!,#ARVO!,#ARVO!,652,541,326,265,14
SWHE21335_140721_KoddervikenPuhdistamo_mirror_IB,2021,NA,NA,NA,736,622,439,366,149,#ARVO!,#ARVO!,#ARVO!,786,672,489,416,199,#ARVO!,#ARVO!,#ARVO!,653,543,346,288,54
SWHE21358_090721_Smedjeviken_BT_mirror_IB,2021,NA,NA,NA,719,608,405,338,117,#ARVO!,#ARVO!,#ARVO!,769,658,455,388,167,#ARVO!,#ARVO!,#ARVO!,686,572,389,316,99
SWHE21367_120721_Natholmen_mirror_IB,2021,NA,NA,NA,720,624,470,414,213,#ARVO!,#ARVO!,#ARVO!,770,674,520,464,263,#ARVO!,#ARVO!,#ARVO!,669,558,355,288,67
CAGE_02072023_HK23142_mirror_IB,2023,NA,NA,NA,751,646,485,415,216,#ARVO!,#ARVO!,#ARVO!,801,696,535,465,266,#ARVO!,#ARVO!,#ARVO!,701,596,435,365,166
CAGE_04072023_HK23146_mirror_IB,2023,NA,NA,NA,709,606,431,363,158,#ARVO!,#ARVO!,#ARVO!,759,656,481,413,208,#ARVO!,#ARVO!,#ARVO!,659,556,381,313,108
CAGE_05072023_HK23149_mirror_IB,2023,NA,NA,NA,744,641,464,402,193,#ARVO!,#ARVO!,#ARVO!,794,691,514,452,243,#ARVO!,#ARVO!,#ARVO!,694,591,414,352,143
CAGE_05072023_HK23151_mirror_IB,2023,NA,NA,NA,726,621,442,379,172,#ARVO!,#ARVO!,#ARVO!,776,671,492,429,222,#ARVO!,#ARVO!,#ARVO!,676,571,392,329,122
CAGE_06072023_HK23154_mirror_IB,2023,NA,NA,NA,755,649,475,407,200,#ARVO!,#ARVO!,#ARVO!,805,699,525,457,250,#ARVO!,#ARVO!,#ARVO!,705,599,425,357,150
CAGE_07072023_HK23155_mirror_IB,2023,NA,NA,NA,722,620,443,383,174,#ARVO!,#ARVO!,#ARVO!,772,670,493,433,224,#ARVO!,#ARVO!,#ARVO!,672,570,393,333,124
CAGE_07072023_HK23156_mirror_IB,2023,NA,NA,NA,733,631,457,397,187,#ARVO!,#ARVO!,#ARVO!,783,681,507,447,237,#ARVO!,#ARVO!,#ARVO!,683,581,407,347,137
CAGE_08072023_HK23157_mirror_IB,2023,NA,NA,NA,710,610,436,375,171,#ARVO!,#ARVO!,#ARVO!,760,660,486,425,221,#ARVO!,#ARVO!,#ARVO!,660,560,386,325,121
CAGE_10072023_HK23162_mirror_IB,2023,NA,NA,NA,739,634,458,390,191,#ARVO!,#ARVO!,#ARVO!,789,684,508,440,241,#ARVO!,#ARVO!,#ARVO!,689,584,408,340,141
CAGE_11072023_HK23165_mirror_IB,2023,NA,NA,NA,718,613,437,374,163,#ARVO!,#ARVO!,#ARVO!,768,663,487,424,213,#ARVO!,#ARVO!,#ARVO!,668,563,387,324,113
CAGE_13062023_HE21304_mirror_IB,2023,NA,NA,NA,723,610,410,341,98,#ARVO!,#ARVO!,#ARVO!,773,660,460,391,148,#ARVO!,#ARVO!,#ARVO!,673,560,360,291,48
CAGE_16062023_HK23105_mirror_IB,2023,NA,NA,NA,721,615,427,360,145,#ARVO!,#ARVO!,#ARVO!,771,665,477,410,195,#ARVO!,#ARVO!,#ARVO!,671,565,377,310,95
CAGE_22062023_HK23125_mirror_IB,2023,NA,NA,NA,724,618,440,375,169,#ARVO!,#ARVO!,#ARVO!,774,668,490,425,219,#ARVO!,#ARVO!,#ARVO!,674,568,390,325,119
CAGE_25062023_HK23129_mirror_IB,2023,NA,NA,NA,738,632,469,396,192,#ARVO!,#ARVO!,#ARVO!,788,682,519,446,242,#ARVO!,#ARVO!,#ARVO!,688,582,419,346,142
CAGE_28062023_HK23135_mirror_IB,2023,NA,NA,NA,734,632,463,397,199,#ARVO!,#ARVO!,#ARVO!,784,682,513,447,249,#ARVO!,#ARVO!,#ARVO!,684,582,413,347,149
CAGE_30062023_HK23138_mirror_IB,2023,NA,NA,NA,735,635,492,427,233,#ARVO!,#ARVO!,#ARVO!,785,685,542,477,283,#ARVO!,#ARVO!,#ARVO!,685,585,442,377,183
CAGE_26062023_HK23102_mirror_IB,2023,NA,NA,NA,NA,NA,NA,NA,NA,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!,#ARVO!
CAGE_050721_HA70364_exploration_IB,2021,1031,958,926,707,605,432,379,166,1081,1008,976,757,655,482,429,216,981,908,876,657,555,382,329,116
CAGE_060721_HA70386_exploration_IB,2021,1167,1090,939,813,702,527,472,259,1217,1140,989,863,752,577,522,309,1117,1040,889,763,652,477,422,209
CAGE_130721_unringedSW_exploration_IB,2021,1014,944,808,690,585,412,354,124,1064,994,858,740,635,462,404,174,964,894,758,640,535,362,304,74
CAGE_150721_HA70356_exploration_IB,2021,1022,956,NA,691,584,407,349,108,1072,1006,#ARVO!,741,634,457,399,158,972,906,#ARVO!,641,534,357,299,58
CAGE_150721_HA70398_exploration_IB,2021,1571,1453,1258,1076,925,663,586,247,1621,1503,1308,1126,975,713,636,297,1521,1403,1208,1026,875,613,536,197
CAGE_210621_HA70357_exploration_IB,2021,1057,987,850,737,632,468,408,214,1107,1037,900,787,682,518,458,264,1007,937,800,687,582,418,358,164
CAGE_280621_HB45047_exploration_IB,2021,1090,1017,883,766,664,498,445,249,1140,1067,933,816,714,548,495,299,1040,967,833,716,614,448,395,199
HE21304_100621_21KR8_exploration_IB,2021,1090,1048,NA,780,662,520,431,250,1140,1098,#ARVO!,830,712,570,481,300,1040,998,#ARVO!,730,612,470,381,200
HE21322_220621_21JJ10_exploration_IB,2021,1070,1001,856,737,622,451,385,184,1120,1051,906,787,672,501,435,234,1020,951,806,687,572,401,335,134
HE21337_280621_21NB7_exploration_IB,2021,1044,957,831,598,NA,417,370,165,1094,1007,881,648,#ARVO!,467,420,215,994,907,781,548,#ARVO!,367,320,115
HE21362_100721_21JJ32_exploration_IB,2021,1081,1013,864,759,650,494,428,234,1131,1063,914,809,700,544,478,284,1031,963,814,709,600,444,378,184
CAGE_010721_HA70377_exploration_IB,2021,1054,978,845,724,624,448,399,175,1104,1028,895,774,674,498,449,225,1004,928,795,674,574,398,349,125
CAGE_010721_HA70378_exploration_IB,2021,1021,948,819,699,598,433,379,152,1071,998,869,749,648,483,429,202,971,898,769,649,548,383,329,102
CAGE_010721_HA70379_exploration_IB,2021,1097,1022,884,760,657,494,438,221,1147,1072,934,810,707,544,488,271,1047,972,834,710,607,444,388,171
CAGE_010721_HA70380_exploration_IB,2021,1097,1021,883,763,659,493,437,220,1147,1071,933,813,709,543,487,270,1047,971,833,713,609,443,387,170
CAGE_020720_HA70343_exploration_IB,2020,1085,1003,861,730,621,432,383,163,1135,1053,911,780,671,482,433,213,1035,953,811,680,571,382,333,113
CAGE_020721_HA70355_exploration_IB,2021,1088,1031,NA,748,631,464,388,147,1138,1081,#ARVO!,798,681,514,438,197,1038,981,#ARVO!,698,581,414,338,97
CAGE_020721_HA70381_exploration_IB,2021,1094,1024,NA,757,649,480,418,188,1144,1074,#ARVO!,807,699,530,468,238,1044,974,#ARVO!,707,599,430,368,138
CAGE_020721_HA70382_exploration_IB,2021,1108,1055,NA,780,662,506,423,196,1158,1105,#ARVO!,830,712,556,473,246,1058,1005,#ARVO!,730,612,456,373,146
CAGE_030720_HA70344_exploration_IB,2020,1062,981,841,712,605,420,369,147,1112,1031,891,762,655,470,419,197,1012,931,791,662,555,370,319,97
CAGE_030720_HA70345_exploration_IB,2020,1031,948,813,679,571,384,334,99,1081,998,863,729,621,434,384,149,981,898,763,629,521,334,284,49
CAGE_050721_HA70384_exploration_IB,2021,1099,1014,876,744,640,459,412,194,1149,1064,926,794,690,509,462,244,1049,964,826,694,590,409,362,144
CAGE_050721_HA70385_exploration_IB,2021,1096,1006,875,743,642,459,416,200,1146,1056,925,793,692,509,466,250,1046,956,825,693,592,409,366,150
CAGE_060721_HA70348_exploration_IB,2021,1076,995,860,733,631,456,404,186,1126,1045,910,783,681,506,454,236,1026,945,810,683,581,406,354,136
CAGE_060721_HA70373_exploration_IB,2021,1153,1068,924,789,682,501,452,235,1203,1118,974,839,732,551,502,285,1103,1018,874,739,632,451,402,185
CAGE_060721_HA70383_exploration_IB,2021,1078,994,860,729,625,446,397,180,1128,1044,910,779,675,496,447,230,1028,944,810,679,575,396,347,130
CAGE_060721_HA70388_exploration_IB,2021,1075,1007,NA,738,630,460,401,186,1125,1057,#ARVO!,788,680,510,451,236,1025,957,#ARVO!,688,580,410,351,136
CAGE_070721_HA70389_exploration_IB,2021,1105,1012,884,753,651,473,430,216,1155,1062,934,803,701,523,480,266,1055,962,834,703,601,423,380,166
CAGE_070721_HA70390_exploration_IB,2021,1080,1008,NA,738,629,455,395,175,1130,1058,#ARVO!,788,679,505,445,225,1030,958,#ARVO!,688,579,405,345,125
CAGE_070721_HA70391_exploration_IB,2021,1098,1026,NA,754,645,471,412,193,1148,1076,#ARVO!,804,695,521,462,243,1048,976,#ARVO!,704,595,421,362,143
CAGE_080720_HA70346_exploration_IB,2020,1059,969,853,NA,631,457,417,202,1109,1019,903,681,507,467,252,252,1009,919,803,581,407,367,152,152
CAGE_080721_HA70392_exploration_IB,2021,1044,968,838,722,621,452,397,184,1094,1018,888,772,671,502,447,234,994,918,788,672,571,402,347,134
CAGE_080721_HA70393_exploration_IB,2021,1118,1026,894,760,657,470,434,207,1168,1076,944,810,707,520,484,257,1068,976,844,710,607,420,384,157
CAGE_090720_7894357_exploration_IB,2020,1059,977,838,707,603,414,365,126,1109,1027,888,757,653,464,415,176,1009,927,788,657,553,364,315,76
CAGE_090720_HA70348_exploration_IB,2020,1050,978,839,711,604,430,371,141,1100,1028,889,761,654,480,421,191,1000,928,789,661,554,380,321,91
CAGE_090720_HA70349_exploration_IB,2020,1073,996,860,729,622,446,391,163,1123,1046,910,779,672,496,441,213,1023,946,810,679,572,396,341,113
CAGE_090721_HA70394_exploration_IB,2021,1026,956,816,686,581,400,346,107,1076,1006,866,736,631,450,396,157,976,906,766,636,531,350,296,57
CAGE_090721_HB11638_exploration_IB,2021,1090,1014,872,738,630,450,399,166,1140,1064,922,788,680,500,449,216,1040,964,822,688,580,400,349,116
CAGE_100720_HA70350_exploration_IB,2020,1073,982,854,NA,621,440,394,162,1123,1032,904,#ARVO!,490,444,212,212,1023,932,804,#ARVO!,390,344,112,112
CAGE_100720_HA70351_exploration_IB,2020,1063,975,847,NA,611,426,382,146,1113,1025,897,#ARVO!,661,476,432,196,1013,925,797,#ARVO!,561,376,332,96
CAGE_100720_HA70352_exploration_IB,2020,1061,971,843,NA,608,421,378,142,1111,1021,893,#ARVO!,658,471,428,192,1011,921,793,#ARVO!,558,371,328,92
CAGE_100720_HA70353_exploration_IB,2020,1060,971,841,NA,605,420,377,138,1110,1021,891,#ARVO!,655,470,427,188,1010,921,791,#ARVO!,555,370,327,88
CAGE_100720_HA70354_exploration_IB,2020,1055,974,831,695,588,395,344,94,1105,1024,881,745,638,445,394,144,1005,924,781,645,538,345,294,44
CAGE_100720_HA70355_exploration_IB,2020,1048,963,825,688,581,385,336,86,1098,1013,875,738,631,435,386,136,998,913,775,638,531,335,286,36
CAGE_120621_15582308_exploration_IB,2021,1074,1002,863,736,628,458,401,193,1124,1052,913,786,678,508,451,243,1024,952,813,686,578,408,351,143
CAGE_120621_HA70356_exploration_IB,2021,1072,1018,NA,751,636,482,404,207,1122,1068,#ARVO!,801,686,532,454,257,1022,968,#ARVO!,701,586,432,354,157
CAGE_130721_HA70395_exploration_IB,2021,1087,1011,874,751,645,471,417,196,1137,1061,924,801,695,521,467,246,1037,961,824,701,595,421,367,146
CAGE_130721_HC35739_exploration_IB,2021,1090,1010,873,746,641,463,412,187,1140,1060,923,796,691,513,462,237,1040,960,823,696,591,413,362,137
CAGE_150721_HA70396_exploration_IB,2021,1041,976,NA,714,609,441,383,157,1091,1026,#ARVO!,764,659,491,433,207,991,926,#ARVO!,664,559,391,333,107
CAGE_150721_HA70397_exploration_IB,2021,1057,987,852,727,625,454,402,179,1107,1037,902,777,675,504,452,229,1007,937,802,677,575,404,352,129
CAGE_200520_HA70335_exploration_IB,2020,1038,987,NA,714,598,440,357,155,1088,1037,#ARVO!,764,648,490,407,205,988,937,#ARVO!,664,548,390,307,105
CAGE_200520_HA70336_exploration_IB,2020,1025,968,NA,699,588,422,349,140,1075,1018,#ARVO!,749,638,472,399,190,975,918,#ARVO!,649,538,372,299,90
CAGE_200721_HA70399_exploration_IB,2021,1527,1410,1242,1066,930,696,626,339,1577,1460,1292,1116,980,746,676,389,1477,1360,1192,1016,880,646,576,289
CAGE_200721_HA70400_exploration_IB,2021,1008,929,817,698,608,449,404,206,1058,979,867,748,658,499,454,256,958,879,767,648,558,399,354,156
CAGE_210621_14471622_exploration_IB,2021,1024,948,817,693,588,416,360,144,1074,998,867,743,638,466,410,194,974,898,767,643,538,366,310,94
CAGE_210621_HA70354_exploration_IB,2021,1044,979,NA,703,588,409,344,118,1094,1029,#ARVO!,753,638,459,394,168,994,929,#ARVO!,653,538,359,294,68
CAGE_210621_HA70358_exploration_IB,2021,1070,988,863,739,639,468,421,219,1120,1038,913,789,689,518,471,269,1020,938,813,689,589,418,371,169
CAGE_210621_HA70359_exploration_IB,2021,1045,962,838,718,619,450,399,200,1095,1012,888,768,669,500,449,250,995,912,788,668,569,400,349,150
CAGE_210621_HA70360_exploration_IB,2021,1075,989,855,728,627,446,399,190,1125,1039,905,778,677,496,449,240,1025,939,805,678,577,396,349,140
CAGE_210621_HA70361_exploration_IB,2021,1070,987,858,NA,627,445,400,189,1120,1037,908,#ARVO!,677,495,450,239,1020,937,808,#ARVO!,577,395,350,139
CAGE_220520_HA70337_exploration_IB,2020,1143,1077,NA,785,665,491,421,207,1193,1127,#ARVO!,835,715,541,471,257,1093,1027,#ARVO!,735,615,441,371,157
CAGE_220520_HA70339_exploration_IB,2020,1058,998,NA,723,605,435,360,142,1108,1048,#ARVO!,773,655,485,410,192,1008,948,#ARVO!,673,555,385,310,92
CAGE_220520_HB45009_exploration_IB,2020,1076,1019,NA,739,622,450,376,158,1126,1069,#ARVO!,789,672,500,426,208,1026,969,#ARVO!,689,572,400,326,108
CAGE_230621_HA70362_exploration_IB,2021,1065,983,847,719,613,434,382,161,1115,1033,897,769,663,484,432,211,1015,933,797,669,563,384,332,111
CAGE_230621_HA70363_exploration_IB,2021,1081,998,860,731,625,447,394,176,1131,1048,910,781,675,497,444,226,1031,948,810,681,575,397,344,126
CAGE_240621_HA70364_exploration_IB,2021,1060,989,852,732,626,465,402,199,1110,1039,902,782,676,515,452,249,1010,939,802,682,576,415,352,149
CAGE_240621_HA70365_exploration_IB,2021,1040,970,843,724,625,471,409,209,1090,1020,893,774,675,521,459,259,990,920,793,674,575,421,359,159
CAGE_240621_HA70366_exploration_IB,2021,1038,969,841,725,623,468,405,209,1088,1019,891,775,673,518,455,259,988,919,791,675,573,418,355,159
CAGE_240621_HA70367_exploration_IB,2021,1540,1450,1270,1098,953,711,649,393,1590,1500,1320,1148,1003,761,699,443,1490,1400,1220,1048,903,661,599,343
CAGE_240621_HA70369_exploration_IB,2021,1547,1466,1286,1119,973,735,669,414,1597,1516,1336,1169,1023,785,719,464,1497,1416,1236,1069,923,685,619,364
CAGE_240621_HB33264_exploration_IB,2021,1067,997,861,738,636,474,413,210,1117,1047,911,788,686,524,463,260,1017,947,811,688,586,424,363,160
CAGE_250520_HA70340_exploration_IB,2020,1031,972,NA,710,599,441,368,164,1081,1022,#ARVO!,760,649,491,418,214,981,922,#ARVO!,660,549,391,318,114
CAGE_250520_HA70341_exploration_IB,2020,1067,987,841,704,597,402,353,121,1117,1037,891,754,647,452,403,171,1017,937,791,654,547,352,303,71
CAGE_250520_HA70342_exploration_IB,2020,1056,994,NA,719,603,428,359,140,1106,1044,#ARVO!,769,653,478,409,190,1006,944,#ARVO!,669,553,378,309,90
CAGE_280621_HA70370_exploration_IB,2021,1072,1000,873,753,655,498,442,251,1122,1050,923,803,705,548,492,301,1022,950,823,703,605,448,392,201
CAGE_280621_HA70371_exploration_IB,2021,1075,1002,872,754,656,498,442,249,1125,1052,922,804,706,548,492,299,1025,952,822,704,606,448,392,199
CAGE_280621_HA70372_exploration_IB,2021,1077,1004,875,755,656,497,439,248,1127,1054,925,805,706,547,489,298,1027,954,825,705,606,447,389,198
CAGE_300621_HA70352_exploration_IB,2021,1076,994,857,726,621,441,392,154,1126,1044,907,776,671,491,442,204,1026,944,807,676,571,391,342,104
HA70250_180621_21JJ11_exploration_IB,2021,1101,1016,872,NA,626,435,388,165,1151,1066,922,676,485,438,215,215,1051,966,822,576,385,338,115,115
HB45020_010721_21OW3_exploration_IB,2021,1015,929,778,NA,533,318,276,27,1065,979,828,#ARVO!,583,368,326,77,965,879,728,#ARVO!,483,268,226,-23
HB45041_210621_21EK6_exploration_IB,2021,1072,999,866,743,639,474,417,222,1122,1049,916,793,689,524,467,272,1022,949,816,693,589,424,367,172
HE21001_08062021_21EK4_exploration_IB,2021,1061,1011,NA,752,636,488,404,214,1111,1061,#ARVO!,802,686,538,454,264,1011,961,#ARVO!,702,586,438,354,164
HE21301_08062021_21EK4_exploration_IB,2021,1139,1088,NA,818,703,557,471,290,1189,1138,#ARVO!,868,753,607,521,340,1089,1038,#ARVO!,768,653,507,421,240
HE21302_090621_21KR3_exploration_IB,2021,1019,958,821,703,596,434,365,162,1069,1008,871,753,646,484,415,212,969,908,771,653,546,384,315,112
HE21303_090621_21KR3_exploration_IB,2021,981,916,782,661,553,383,324,111,1031,966,832,711,603,433,374,161,931,866,732,611,503,333,274,61
HE21305_100621_21KR8_exploration_IB,2021,1073,1024,NA,762,648,502,419,234,1123,1074,#ARVO!,812,698,552,469,284,1023,974,#ARVO!,712,598,452,369,184
HE21306_110621_21KR30_exploration_IB,2021,996,931,788,665,551,371,303,83,1046,981,838,715,601,421,353,133,946,881,738,615,501,321,253,33
HE21307_130621_21EK2_exploration_IB,2021,1115,1041,897,768,658,485,428,225,1165,1091,947,818,708,535,478,275,1065,991,847,718,608,435,378,175
HE21308_130621_21EK2_exploration_IB,2021,1066,994,851,727,618,444,385,175,1116,1044,901,777,668,494,435,225,1016,944,801,677,568,394,335,125
HE21309_13062_21KR4_exploration_IB,2021,1023,946,796,NA,539,329,285,38,1073,996,846,#ARVO!,589,379,335,88,973,896,746,#ARVO!,489,279,235,-12
HE21310_130621_21KR4_exploration_IB,2021,1013,939,807,680,574,399,342,131,1063,989,857,730,624,449,392,181,963,889,757,630,524,349,292,81
HE21311_140621_21OW1_exploration_IB,2021,1020,935,790,NA,540,335,292,40,1070,985,840,#ARVO!,590,385,342,90,970,885,740,#ARVO!,490,285,242,-10
HE21312_140621_21OW1_exploration_IB,2021,971,892,747,NA,493,280,233,NA,1021,942,797,#ARVO!,543,330,283,#ARVO!,921,842,697,#ARVO!,443,230,183,#ARVO!
HE21313_160621_21JJ6_exploration_IB,2021,1052,981,846,724,620,455,394,196,1102,1031,896,774,670,505,444,246,1002,931,796,674,570,405,344,146
HE21314_160621_21JJ6_exploration_IB,2021,1022,963,NA,715,607,456,384,195,1072,1013,#ARVO!,765,657,506,434,245,972,913,#ARVO!,665,557,406,334,145
HE21315_170621_21DT2_exploration_IB,2021,1064,991,854,731,622,452,394,190,1114,1041,904,781,672,502,444,240,1014,941,804,681,572,402,344,140
HE21316_180621_21EK11_exploration_IB,2021,1087,1022,NA,723,601,410,347,106,1137,1072,#ARVO!,773,651,460,397,156,1037,972,#ARVO!,673,551,360,297,56
HE21317_180621_21JJ11_exploration_IB,2021,1073,1013,NA,720,597,411,341,104,1123,1063,#ARVO!,770,647,461,391,154,1023,963,#ARVO!,670,547,361,291,54
