VIDEO TITLE,year,X PERCH1,X PERCH2,X PERCH3,X PERCH4,X PERCH5,X PERCH6,X PERCH7,X PERCH8,perch1P,perch2P,perch3P,perch4P,perch5P, perch6P, perch7P, perch8P, perch1M, perch2M, perch3M, perch4M, perch5M, perch6M, perch7M, perch8M
CAGE_060721_HA70348_mirror_IB,2021,NA,NA,NA,734,628,429,381,148,#ARVO!,#ARVO!,#ARVO!,784,678,479,431,198,#ARVO!,#ARVO!,#ARVO!,684,578,379,331,98
CAGE_060721_HA70373_mirror_IB,2021,NA,NA,NA,787,682,483,438,200,#ARVO!,#ARVO!,#ARVO!,837,732,533,488,250,#ARVO!,#ARVO!,#ARVO!,737,632,433,388,150
CAGE_060721_HA70386_mirror_IB,2021,NA,NA,NA,809,701,516,462,241,#ARVO!,#ARVO!,#ARVO!,859,751,566,512,291,#ARVO!,#ARVO!,#ARVO!,759,651,466,412,191
CAGE_070721_HA70389_mirror_IB,2021,NA,NA,NA,753,651,441,404,179,#ARVO!,#ARVO!,#ARVO!,803,701,491,454,229,#ARVO!,#ARVO!,#ARVO!,703,601,391,354,129
CAGE_070721_HA70390_mirror_IB,2021,NA,NA,NA,732,624,445,386,156,#ARVO!,#ARVO!,#ARVO!,782,674,495,436,206,#ARVO!,#ARVO!,#ARVO!,682,574,395,336,106
CAGE_070721_HA70391_mirror_IB,2021,NA,NA,NA,753,642,462,405,178,#ARVO!,#ARVO!,#ARVO!,803,692,512,455,228,#ARVO!,#ARVO!,#ARVO!,703,592,412,355,128
CAGE_080720_HA70346_mirror_IB,2020,NA,NA,NA,723,628,448,412,193,#ARVO!,#ARVO!,#ARVO!,773,678,498,462,243,#ARVO!,#ARVO!,#ARVO!,673,578,398,362,143
CAGE_080721_HA70392_mirror_IB,2021,NA,NA,NA,724,622,410,358,125,#ARVO!,#ARVO!,#ARVO!,774,672,460,408,175,#ARVO!,#ARVO!,#ARVO!,674,572,360,308,75
CAGE_080721_HA70393_mirror_IB,2021,NA,NA,NA,762,659,431,392,154,#ARVO!,#ARVO!,#ARVO!,812,709,481,442,204,#ARVO!,#ARVO!,#ARVO!,712,609,381,342,104
CAGE_090720_7894357_mirror_IB,2020,NA,NA,NA,704,599,404,361,110,#ARVO!,#ARVO!,#ARVO!,754,649,454,411,160,#ARVO!,#ARVO!,#ARVO!,654,549,354,311,60
CAGE_100720_HA70352_mirror_IB,2020,1060,970,841,709,607,417,376,137,1110,1020,891,759,657,467,426,187,1010,920,791,659,557,367,326,87
CAGE_090720_HA70348_mirror_IB,2020,NA,NA,NA,708,603,427,375,136,#ARVO!,#ARVO!,#ARVO!,758,653,477,425,186,#ARVO!,#ARVO!,#ARVO!,658,553,377,325,86
CAGE_090720_HA70349_mirror_IB,2020,NA,NA,NA,725,619,442,394,153,#ARVO!,#ARVO!,#ARVO!,775,669,492,444,203,#ARVO!,#ARVO!,#ARVO!,675,569,392,344,103
CAGE_090721_HA70394_mirror_IB,2021,NA,NA,NA,683,576,399,343,91,#ARVO!,#ARVO!,#ARVO!,733,626,449,393,141,#ARVO!,#ARVO!,#ARVO!,633,526,349,293,41
CAGE_090721_HB11638_mirror_IB,2021,NA,NA,NA,734,627,444,390,141,#ARVO!,#ARVO!,#ARVO!,784,677,494,440,191,#ARVO!,#ARVO!,#ARVO!,684,577,394,340,91
CAGE_100720_HA70350_mirror_IB,2020,NA,NA,NA,721,621,418,379,140,#ARVO!,#ARVO!,#ARVO!,771,671,468,429,190,#ARVO!,#ARVO!,#ARVO!,671,571,368,329,90
CAGE_100720_HA70351_mirror_IB,2020,NA,NA,NA,713,610,407,369,127,#ARVO!,#ARVO!,#ARVO!,763,660,457,419,177,#ARVO!,#ARVO!,#ARVO!,663,560,357,319,77
CAGE_100720_HA70353_mirror_IB,2020,NA,NA,NA,713,611,405,366,123,#ARVO!,#ARVO!,#ARVO!,763,661,455,416,173,#ARVO!,#ARVO!,#ARVO!,663,561,355,316,73
CAGE_100720_HA70354_mirror_IB,2020,NA,NA,NA,700,590,395,349,93,#ARVO!,#ARVO!,#ARVO!,750,640,445,399,143,#ARVO!,#ARVO!,#ARVO!,650,540,345,299,43
CAGE_100720_HA70355_mirror_IB,2020,NA,NA,NA,733,626,431,379,168,#ARVO!,#ARVO!,#ARVO!,783,676,481,429,218,#ARVO!,#ARVO!,#ARVO!,683,576,381,329,118
CAGE_120621_15582308_mirror_IB,2021,NA,NA,NA,747,634,469,396,187,#ARVO!,#ARVO!,#ARVO!,797,684,519,446,237,#ARVO!,#ARVO!,#ARVO!,697,584,419,346,137
CAGE_120621_HA70356_mirror_IB,2021,NA,NA,NA,749,643,469,415,193,#ARVO!,#ARVO!,#ARVO!,799,693,519,465,243,#ARVO!,#ARVO!,#ARVO!,699,593,419,365,143
CAGE_130721_HA70395_mirror_IB,2021,NA,NA,NA,745,639,454,407,179,#ARVO!,#ARVO!,#ARVO!,795,689,504,457,229,#ARVO!,#ARVO!,#ARVO!,695,589,404,357,129
CAGE_130721_HC35739_mirror_IB,2021,NA,NA,NA,687,582,409,352,122,#ARVO!,#ARVO!,#ARVO!,737,632,459,402,172,#ARVO!,#ARVO!,#ARVO!,637,532,359,302,72
CAGE_130721_unringedSW_mirror_IB,2021,NA,NA,NA,686,581,393,334,87,#ARVO!,#ARVO!,#ARVO!,736,631,443,384,137,#ARVO!,#ARVO!,#ARVO!,636,531,343,284,37
CAGE_150721_HA70356_mirror_IB,2021,NA,NA,NA,712,606,421,363,123,#ARVO!,#ARVO!,#ARVO!,762,656,471,413,173,#ARVO!,#ARVO!,#ARVO!,662,556,371,313,73
CAGE_150721_HA70396_mirror_IB,2021,NA,NA,NA,726,624,437,385,147,#ARVO!,#ARVO!,#ARVO!,776,674,487,435,197,#ARVO!,#ARVO!,#ARVO!,676,574,387,335,97
CAGE_150721_HA70397_mirror_IB,2021,NA,NA,NA,1079,931,653,578,288,#ARVO!,#ARVO!,#ARVO!,1129,981,703,628,338,#ARVO!,#ARVO!,#ARVO!,1029,881,603,528,238
CAGE_150721_HA70398_mirror_IB,2021,NA,NA,NA,717,600,448,367,151,#ARVO!,#ARVO!,#ARVO!,767,650,498,417,201,#ARVO!,#ARVO!,#ARVO!,667,550,398,317,101
CAGE_210621_HA70357_mirror_IB,2021,1054,984,850,732,630,470,409,215,1104,1034,900,782,680,520,459,265,1004,934,800,682,580,420,359,165
CAGE_200520_HA70335_mirror_IB,2020,NA,NA,NA,698,584,426,355,137,#ARVO!,#ARVO!,#ARVO!,748,634,476,405,187,#ARVO!,#ARVO!,#ARVO!,648,534,376,305,87
CAGE_200520_HA70336_mirror_IB,2020,NA,NA,NA,1062,928,701,631,321,#ARVO!,#ARVO!,#ARVO!,1112,978,751,681,371,#ARVO!,#ARVO!,#ARVO!,1012,878,651,581,271
CAGE_200721_HA70399_mirror_IB,2021,NA,NA,NA,695,604,452,405,196,#ARVO!,#ARVO!,#ARVO!,745,654,502,455,246,#ARVO!,#ARVO!,#ARVO!,645,554,402,355,146
CAGE_200721_HA70400_mirror_IB,2021,NA,NA,NA,691,589,386,335,106,#ARVO!,#ARVO!,#ARVO!,741,639,436,385,156,#ARVO!,#ARVO!,#ARVO!,641,539,336,285,56
CAGE_210621_14471622_mirror_IB,2021,NA,NA,NA,701,589,378,317,74,#ARVO!,#ARVO!,#ARVO!,751,639,428,367,124,#ARVO!,#ARVO!,#ARVO!,651,539,328,267,24
CAGE_210621_HA70354_mirror_IB,2021,NA,NA,NA,740,640,435,391,176,#ARVO!,#ARVO!,#ARVO!,790,690,485,441,226,#ARVO!,#ARVO!,#ARVO!,690,590,385,341,126
CAGE_210621_HA70358_mirror_IB,2021,NA,NA,NA,719,619,414,366,150,#ARVO!,#ARVO!,#ARVO!,769,669,464,416,200,#ARVO!,#ARVO!,#ARVO!,669,569,364,316,100
CAGE_210621_HA70359_mirror_IB,2021,NA,NA,NA,727,626,425,383,156,#ARVO!,#ARVO!,#ARVO!,777,676,475,433,206,#ARVO!,#ARVO!,#ARVO!,677,576,375,333,106
CAGE_210621_HA70360_mirror_IB,2021,NA,NA,NA,728,625,426,383,155,#ARVO!,#ARVO!,#ARVO!,778,675,476,433,205,#ARVO!,#ARVO!,#ARVO!,678,575,376,333,105
CAGE_210621_HA70361_mirror_IB,2021,NA,NA,NA,716,598,412,346,111,#ARVO!,#ARVO!,#ARVO!,766,648,462,396,161,#ARVO!,#ARVO!,#ARVO!,666,548,362,296,61
CAGE_220520_HA70337_mirror_IB,2020,NA,NA,NA,730,612,418,348,119,#ARVO!,#ARVO!,#ARVO!,780,662,468,398,169,#ARVO!,#ARVO!,#ARVO!,680,562,368,298,69
CAGE_220520_HA70339_mirror_IB,2020,NA,NA,NA,740,621,426,356,125,#ARVO!,#ARVO!,#ARVO!,790,671,476,406,175,#ARVO!,#ARVO!,#ARVO!,690,571,376,306,75
CAGE_220520_HB45009_mirror_IB,2020,NA,NA,NA,717,611,433,384,161,#ARVO!,#ARVO!,#ARVO!,767,661,483,434,211,#ARVO!,#ARVO!,#ARVO!,667,561,383,334,111
CAGE_230621_HA70362_mirror_IB,2021,NA,NA,NA,730,624,441,395,171,#ARVO!,#ARVO!,#ARVO!,661,767,491,445,221,#ARVO!,#ARVO!,#ARVO!,561,667,391,345,121
