Ringnr|NestID|Location|Total_time|perch1|perch2|perch3|perch4|perch5|5perches|Bottom|Middle|Top|T_new|T_home|ground|latency|Explored|move_home|movement|Mov_sum
HA70225|SIU18E2||601.68|0|0|0|0|0|NA|292.929|39.979|21.996|0|601.68|0|601.68|n|103|0|103
HA70226||Myrans|600.232|0|0|0|0|0|NA|186.047|283.629|128.145|0|600.232|0|600.232|n|133|0|133
HA70227|KIR18E1||600.695|0|0|0|0|0|NA|158.816|89.185|348.982|0|600.695|0|600.695|n|54|0|54
HA70228|POR18K6||600.725|0|21.247|0|3.533|0|NA|0|6.073|594.651|24.781|575.944|0|575.942|y|5|1|6
HA70228|20AT3||600.432|93.894|42.703|210.948|67.953|39.939|118.496|0|6.322|594.103|456.277|144.155|0|55.343|y|29|83|112
HA70229|POR18E2R||600.396|186.932|tammi.89|262.634|maalis.41|8.218|363.19|70.173|223.431|306.234|598.494|1.902|17.801|1.syys|y|1|177|178
HA70230|ESP18K8||600.277|179.967|0|165.069|1.224|89.529|NA|66.378|284.991|248.818|598.709|1.568|1.899|1.567|y|1|242|243
HA70231|ESP18K8||600.403|0|0|0|0|0|NA|1.098|20.112|579.188|0|600.403|0|600.403|n|8|0|8
HA70232|KAA18K1||600.196|0|0|0|0|0|NA|190.729|322.103|79.075|0|600.196|0|600.196|n|133|0|133
HA70233|KAA18K1||600.558|41.162|55.107|55.116|45.294|0|NA|64.293|339.912|65.93|196.71|403.848|0|276.81|y|16|31|47
HA70234|ESP18K12||600.462|0|0|0|0|0|NA|122.54|355.268|121.293|0|600.462|0|600.462|n|124|0|124
HA70235|KIR18J7||600.566|0|0|0|0|0|NA|55.901|82.219|456.082|0|600.566|0|600.566|n|57|0|57
HA70236|KIR18J7||600.366|563.218|10.884|18.736|0.299|0|NA|0|30.972|569.391|599.703|0.663|0|0.661|y|1|20|21
HA70237|SIU18E6||577.786|0|0|0|0|0|NA|235.557|249.705|90.446|0|577.786|0|577.786|n|67|0|67
HA70238|ESP18K2||600.25|232.479|heinä.61|225.067|2.674|0|NA|0|116.413|483.278|598.229|2.021|0|2.helmi|y|0|232|232
HA70238|19EK27||600.186|146.567|0|293.16|5.377|4.187|NA|0|150.677|449.482|470.42|129.766|0|129.764|y|1|99|100
HA70239|ESP18K4||600.201|0|0|0|0|0|NA|0|4.075|596.125|0|600.201|0|600.201|n|1|0|1
HA70240|ESP18K4||600.57|65.61|514.458|9.194|0|0|NA|5.887|422.935|170.605|599.235|1.335|0|1.334|y|0|30|30
HA70241|ESP18K10||594.765|3.223|166.184|marras.37|53.616|0|NA|0|240.076|56.671|234.936|359.829|0|0.992|y|8|18|26
HA70241|19EK4||601.278|0|0|72.53|84.001|358.703|NA|0|16.33|584.945|515.251|86.027|0|77.922|y|4|17|21
HA70242|POR18E4||600.46|0|0|0|0|0|NA|2.277|3.006|595.175|0|600.46|0|600.46|n|1|0|1
HA70243||Fiskarviken|600.368|157.824|173.075|69.864|38.716|17.518|169.374|0|23.846|576.503|446.744|153.624|0|tammi.97|y|96|259|355
HA70244||Kaitalahti|600.366|3.166|0|102.119|7.335|3.671|NA|loka.99|559.683|28.028|135.496|464.87|1.692|464.868|y|8|35|43
HA70245||Kaitalahti|600.497|46.771|65.152|142.656|91.237|39.126|58.755|0|15.503|584.987|390.151|210.346|0|10.128|y|41|85|126
HA70246||Kaitalahti|600.862|84.356|406.104|91.414|17.424|0|NA|0|0|600.862|599.304|1.558|0|1.557|y|1|6|7
HA70247||Kaitalahti|600.262|0|0|0|592.521|0|NA|10.101|589.409|0.749|596.267|3.995|2.713|3.458|y|1|5|6
HA70248||Smedjeviken|600.586|0|0|596.602|1.355|0|NA|0|590.458|10.125|599.479|1.107|0|1.105|y|1|4|5
